model,n_params,val_acc,val_loss,perplex,cdnv,norms_mean,norms_var,etf_error,interfere_mean,interfere_var,log_kern_mean,log_kern_var,dual_error,simdot_mean,simdot_var,simcos_mean,simcos_var,dists_mean,dists_var,hits,misses,norms_log_mean,norms_log_var
01x0512_10d@9,29932032,0.556480035704581,1.789867281913757,5.988657610461178,0.000947632419411,29.515736735806538,76.0028991986312,1.3858183552813137,-0.0324021282962272,19378.94589773129,-0.3367126882076263,0.0104177640751004,1.398884892463684,8.91401004671989,22.049684228069506,0.3553597629070282,0.0371171385049819,1.122587455606035,0.0290787172514657,870411,3843780,3.342900949261597,0.08313995384745865
02x0512_01L@0,33082880,0.4645768003799551,2.455451726913452,11.651695744807508,0.0033934649545699,17.350707190324567,22.816238926825886,1.391540071582879,-0.0110790400395196,3541.831424186751,-0.3304198086261749,0.0195825416594743,1.4071122407913208,2.157376825620404,8.468078816550271,0.2073152661323547,0.0652387961745262,1.2386145670443656,0.0512048931304974,846943,3867248,2.8161453501562352,0.07528126092940542
02x0512_01d@0,33082880,0.4641122505192246,2.4563586711883545,11.662267977044236,0.0034200951922684,17.301359170447522,22.85262710329571,1.391460274518992,-0.0110217868947517,3480.9331651566145,-0.3305128514766693,0.0194349959492683,1.407090663909912,2.18830594998591,8.642142963735523,0.20593823492527,0.0640933513641357,1.2402104559667306,0.0500029862958406,836699,3877492,2.8130495042976533,0.07575439512334121
02x0512_03d@2,33082880,0.5355426249952007,1.9393390417099,6.9541530461800205,0.0015826730523258,22.542983326171733,40.4448988107966,1.3866231477671815,-0.0187681175601795,6883.645907590257,-0.3361488282680511,0.0117020700126886,1.402861714363098,5.033276595354493,19.65477909260805,0.3149327635765075,0.0669520199298858,1.1470571743932514,0.0543959226340122,943157,3771034,3.0771132347238237,0.07584451802620407
02x0512_10L@5,33082880,0.577969391043012,1.6753689050674438,5.340765020983239,0.0007581645622849,30.45507390739164,68.82155102853268,1.3854875586730708,-0.0340835633378291,20956.966878718027,-0.3375236392021179,0.0098152393475174,1.3985774517059326,8.138766438714551,22.10059857804117,0.3892765045166015,0.0479901954531669,1.087148362111163,0.0395565654227865,1021616,3692575,3.3806540737724022,0.07027379171010725
02x0512_10L@9,33082880,0.5907521486491675,1.6087020635604858,4.996322108983865,0.0006518677691929,32.50860526057114,78.5885738845574,1.3838336397484856,-0.0388408354379051,24355.45626276409,-0.3385004699230194,0.0086463512852787,1.3978503942489624,8.761614691990633,21.693989464153404,0.3994702994823456,0.0447436273097991,1.078869993089297,0.0370999713716897,1066011,3648180,3.4459472089040952,0.0700725217858343
02x0512_10d@5,33082880,0.574489933798463,1.6952251195907593,5.447872249948677,0.0009844894520938,26.951481744237825,54.4369205139878,1.3866518288658998,-0.0267110504430201,13972.31698888787,-0.336830586194992,0.0104990014806389,1.3988744020462036,8.442392893457074,23.94432164511872,0.3686419129371643,0.0440018735826015,1.1079225017870096,0.0352248418079088,934467,3779724,3.257922343354859,0.07145793035614892
02x0512_10d@9,33082880,0.5857600406937193,1.635509014129639,5.132069628247243,0.0008949233451858,27.991521728306633,58.7108007549029,1.3856579604247783,-0.0288120580544284,15153.44769734689,-0.3375564217567444,0.0095937615260481,1.3982447385787964,9.14488281903249,23.87949381394309,0.3743190467357635,0.0402257181704044,1.1041677589459116,0.0321763811751355,957459,3756732,3.2958642524151864,0.07122423612841837
04x0512_01L@0,39384576,0.5556949676522689,1.8672542572021484,6.470505641777389,0.0013905806699767,21.4985427715639,28.885863759659248,1.3883645241253526,-0.0167991316685556,6277.462872872834,-0.3355081975460052,0.0129352258518338,1.4054090976715088,3.5794212776919263,15.773537502012836,0.2585961818695068,0.0719526559114456,1.1935718791548953,0.0581955802811393,1143089,3571102,3.0376414976740502,0.060319610719117185
04x0512_01d@0,39384576,0.554280954240566,1.8750271797180176,6.520996356763654,0.0014386815018951,21.234417392003884,28.404702670993377,1.3884508395886623,-0.0163965590100971,6020.0220509745695,-0.335428386926651,0.0130099868401885,1.4053986072540283,3.639613878736868,16.20234436391937,0.2538686692714691,0.0694079399108886,1.198673442964402,0.0554463150715952,1111098,3603093,3.0250319345205865,0.060819514824810954
04x0512_03d@2,39384576,0.6028709605639593,1.5617717504501345,4.767260162441251,0.0008471306646242,25.977151087033317,40.78986416142142,1.3867104804940869,-0.0244800508834056,11786.498377325965,-0.3374609351158142,0.0101169850677251,1.4022510051727295,6.555259840214838,25.746186884614897,0.3215503990650177,0.0606684610247612,1.1441143585538385,0.0479030110896173,1158118,3556073,3.2280418047127384,0.057746462140055334
04x0512_10L@5,39384576,0.6291407248802087,1.405895709991455,4.079178866668554,0.0004041096253786,36.4778399125972,78.09488423608569,1.383947819048055,-0.0481911951786393,37778.78879711592,-0.3390848636627197,0.0082553746178746,1.3997641801834106,8.268885316320763,26.451767693030924,0.365045815706253,0.0523317232728004,1.1084650488368533,0.0412148252405385,1289488,3424703,3.568524933153615,0.055634724551048786
04x0512_10L@9,39384576,0.6402903457841888,1.351876974105835,3.864672617702962,0.0003465391055215,39.29556487002629,91.24463833971313,1.3823488729781797,-0.0559449553744294,45973.476054833336,-0.3397606015205383,0.0074740932323038,1.3997420072555542,8.512863763423818,27.160286049382638,0.3668873906135559,0.0515463501214981,1.1071361693017563,0.0404758483552508,1318929,3395262,3.64283920962273,0.05572258444869242
