,model,n_params,val_acc,val_loss,perplex,dists_mean,dists_std,sims_mean,sims_std,norms_mean,norms_std,norms_scl_mean,norms_scl_std,norms_log_mean,norms_log_std,norms_logscl_mean,norms_logscl_std,misses,matches,matches_mean,matches_std,cdnv_mean,cdnv_std,interfere_mean,interfere_std,log_dist_mean,log_dist_std
123,04x0256_10d@5,16546560,0.586189590222477,1.6496275663375854,5.205040933689706,-0.3974258005619049,0.3976962864398956,0.3336045444011688,0.2326396405696869,750.77587890625,358.8789367675781,46.92349243164063,22.42993354797364,6.511401176452637,0.4694043695926666,3.7388126850128174,0.4694043695926666,3683224,1030967,35.26723098754883,581.3639526367188,0.0007506346446461,0.0131914364174008,0.0014148238115012,0.1795907765626907,-0.2381139695644378,0.136929452419281
124,04x0256_10d@9,16546560,0.5938211474551258,1.6087360382080078,4.996491860150026,-0.4193698763847351,0.402037501335144,0.3314810693264007,0.2245164364576339,813.0186157226562,384.7769775390625,50.813663482666016,24.048561096191406,6.593276023864746,0.4645166099071502,3.820687532424927,0.4645166099071502,3688795,1025396,35.07666015625,574.4214477539062,0.0006759191746823,0.0116262324154376,0.0014130708295851,0.1794419288635254,-0.2414734810590744,0.1367089599370956
125,04x0512_01L@0,39384576,0.5556949676522689,1.8672542572021484,6.470505641777389,0.2239029109477996,0.5525311231613159,0.258596122264862,0.2682398855686188,491.07220458984375,250.50743103027344,21.702531814575195,11.070968627929688,6.075282573699951,0.4912009835243225,2.9561209678649902,0.4912009835243225,3571102,1143089,39.10269165039063,690.5249633789062,0.0013905806699767,0.0225788671523332,0.0007919666822999,0.1776303350925445,-0.2816764414310455,0.1189527511596679
126,04x0512_01d@0,39384576,0.554280954240566,1.8750271797180176,6.520996356763654,0.225334420800209,0.5580966472625732,0.2538686394691467,0.2634538412094116,479.30419921875,245.40879821777344,21.182451248168945,10.8456392288208,6.050064563751221,0.4932322204113006,2.930901527404785,0.4932322204113006,3603093,1111098,38.00834655761719,665.0748291015625,0.0014386815018951,0.0225374288856983,0.0008117597317323,0.178342580795288,-0.28059121966362,0.1196468546986579
127,04x0512_03d@2,39384576,0.6028709605639593,1.5617717504501345,4.767260162441251,0.2319698929786682,0.5127545595169067,0.3215503692626953,0.2463096380233764,715.6007690429688,359.6893920898437,31.62538719177246,15.8961763381958,6.45608377456665,0.4806098341941833,3.336921215057373,0.4806098341941833,3556073,1158118,39.61680221557617,677.447509765625,0.0008471306646242,0.0132646840065717,0.0009794571669772,0.1636035591363906,-0.2769924402236938,0.1134590432047844
128,04x0512_10L@5,39384576,0.6291407248802087,1.405895709991455,4.079178866668554,0.2363766282796859,0.4039715826511383,0.3650457561016083,0.2287612408399582,1408.7249755859375,700.8822021484375,62.2574348449707,30.97490882873535,7.137049674987793,0.4717402458190918,4.017887592315674,0.4717402458190918,3424703,1289488,44.11069869995117,788.9046020507812,0.0004041096253786,0.0059481197968125,0.000811165664345,0.1487998515367508,-0.304324597120285,0.1001159325242042
129,04x0512_10L@9,39384576,0.6402903457841888,1.351876974105835,3.864672617702962,0.2439066618680954,0.3899144828319549,0.3668873012065887,0.2270381599664688,1635.3829345703125,818.5315551757812,72.27439880371094,36.1743278503418,7.285678386688232,0.4721125960350036,4.166516304016113,0.4721125960350036,3395262,1318929,45.11781311035156,808.5353393554688,0.0003465391055215,0.0047986325807869,0.0007384725031442,0.1425053477287292,-0.3150483667850494,0.0936546549201011
130,04x0512_10d@5,39384576,0.6263150314122676,1.4211008548736572,4.141677317220861,0.242579698562622,0.4585689008235931,0.3317623734474182,0.2057332843542099,921.818603515625,457.4392395019531,40.73900985717773,20.21615028381348,6.71168327331543,0.4762614071369171,3.5925211906433105,0.4762614071369171,3571931,1142260,39.07433319091797,666.1000366210938,0.0006196715403348,0.0096690645441412,0.0012996826553717,0.163839504122734,-0.2630313634872436,0.1240182816982269
131,04x0512_10d@9,39384576,0.635323904738854,1.3770179748535156,3.96306602668702,0.2504869401454925,0.4561546742916107,0.3286686539649963,0.1990174055099487,995.6021118164062,492.3642272949219,43.99981689453125,21.75963020324707,6.789427757263184,0.4747812449932098,3.670265913009644,0.4747812449932098,3565630,1148561,39.28987884521485,672.8004150390625,0.0005676681757904,0.0084054311737418,0.0012445965548977,0.1615368574857711,-0.2757283747196197,0.1199236363172531
132,04x0768_01L@0,68514048,0.5640963200650964,1.8016259670257568,6.059491992978063,-0.2468498647212982,0.6252798438072205,0.2457719147205352,0.2384426295757293,655.2533569335938,349.87432861328125,23.644420623779297,12.625001907348633,6.353295803070068,0.5105449557304382,3.0314016342163086,0.5105449557304382,3648874,1065317,36.44227600097656,631.3145751953125,0.001116381608881,0.0149626797065138,0.0009380535339005,0.1726891100406646,-0.2896624803543091,0.1144322231411933
133,04x0768_01d@0,68514048,0.5623074849164479,1.8118350505828853,6.121670706841679,-0.2460010647773742,0.6302608251571655,0.2400244176387787,0.2330681681632995,636.4544677734375,340.9695129394531,22.96607208251953,12.303677558898926,6.323114395141602,0.512828528881073,3.0012192726135254,0.512828528881073,3680453,1033738,35.362022399902344,610.7332763671875,0.0011651274980977,0.0155723979696631,0.0009643732919357,0.1740348041057586,-0.2879594564437866,0.1156867295503616
134,04x0768_03d@2,68514048,0.6132327558137143,1.4986025094985962,4.475430326718002,-0.2678648233413696,0.5967821478843689,0.3044446408748626,0.2219577133655548,870.1339111328125,454.0683288574219,31.398252487182617,16.38477897644043,6.643078327178955,0.497317373752594,3.321183443069458,0.497317373752594,3572115,1142076,39.06803894042969,682.5650634765625,0.0007431519916281,0.010397482663393,0.0011137719266116,0.159158170223236,-0.2761290669441223,0.1115208193659782
135,04x0768_10L@5,68514048,0.6418513605901777,1.3365919589996338,3.806050201949408,-0.3596830070018768,0.5289900898933411,0.3568707704544067,0.211673766374588,1575.9825439453125,823.2290649414062,56.86837387084961,29.70572090148925,7.238911628723144,0.4915801584720611,3.917017698287964,0.4915801584720611,3404595,1309596,44.79854965209961,831.1204223632812,0.000393161753891,0.0051143346354365,0.0009392697247676,0.1450933814048767,-0.3112430274486542,0.0961766466498375
